"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription"
"S3","MEX","001","Mexico","WLD"," World",1993,"Export",6,450827.008,"Live animals except fish"
"S3","MEX","001","Mexico","WLD"," World",1993,"Import",5,143790,"Live animals except fish"
"S3","MEX","001","Mexico","WLD"," World",2007,"Export",6,480075.599,"Live animals except fish"
"S3","MEX","001","Mexico","WLD"," World",2007,"Import",5,190962.374,"Live animals except fish"
"S3","MEX","011","Mexico","WLD"," World",1993,"Export",6,3851,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","WLD"," World",1993,"Import",5,229900.992,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","WLD"," World",2007,"Export",6,148467.341,"Beef, fresh/chilld/frozn"
"S3","MEX","011","Mexico","WLD"," World",2007,"Import",5,1077080.161,"Beef, fresh/chilld/frozn"
"S3","MEX","012","Mexico","WLD"," World",1993,"Export",6,31746,"Meat nes,fresh/chld/froz"
"S3","MEX","012","Mexico","WLD"," World",1993,"Import",5,404868,"Meat nes,fresh/chld/froz"
"S3","MEX","012","Mexico","WLD"," World",2007,"Export",6,282858.603,"Meat nes,fresh/chld/froz"
"S3","MEX","012","Mexico","WLD"," World",2007,"Import",5,1596989.212,"Meat nes,fresh/chld/froz"
"S3","MEX","016","Mexico","WLD"," World",1993,"Export",6,977,"Meat/offal preserved"
"S3","MEX","016","Mexico","WLD"," World",1993,"Import",5,39447,"Meat/offal preserved"
"S3","MEX","016","Mexico","WLD"," World",2007,"Export",6,462.592,"Meat/offal preserved"
"S3","MEX","016","Mexico","WLD"," World",2007,"Import",5,64511.048,"Meat/offal preserved"
"S3","MEX","017","Mexico","WLD"," World",1993,"Export",6,1529,"Meat/offal presvd n.e.s"
"S3","MEX","017","Mexico","WLD"," World",1993,"Import",5,108839,"Meat/offal presvd n.e.s"
"S3","MEX","017","Mexico","WLD"," World",2007,"Export",6,70281.044,"Meat/offal presvd n.e.s"
"S3","MEX","017","Mexico","WLD"," World",2007,"Import",5,166042.32,"Meat/offal presvd n.e.s"
"S3","MEX","022","Mexico","WLD"," World",1993,"Export",6,8300,"Milk pr exc buttr/cheese"
"S3","MEX","022","Mexico","WLD"," World",1993,"Import",5,509008,"Milk pr exc buttr/cheese"
"S3","MEX","022","Mexico","WLD"," World",2007,"Export",6,58264.981,"Milk pr exc buttr/cheese"
"S3","MEX","022","Mexico","WLD"," World",2007,"Import",5,1175260.527,"Milk pr exc buttr/cheese"
