Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,13040000000,14160000000,15200000000,16960000000,20080000000,21840000000,24320000000,26560000000,29360000000,32480000000,35520000000,39200000000,45200000000,55280000000,72000000000,88000000000,89025974025.974,81814159292.0354,102500000000,134561403508.772,205139086956.522,263959336734.694,184609157801.418,156159198584.513,184261495828.367,195219789801.479,134550096436.744,147540738281.817,181611549975.804,221400669713.589,261253582805.945,313142768453.485,363157598242.27,500736065605.341,527813238126.278,360073909243.855,410975595310.156,500413483109.175,526502129378.284,600232874042.927,707906744574.644,756706300589.791,772106378935.377,729336319677.449,782240601984.76,877476221382.101,975387131716.089,1052696282278.87,1109989063586.62,900045350649.351,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1315351183524.54,1171867608197.72,1078490651625.31,1158913035796.37,1222348807283.2,1268870527160.03,1076163316174.94
Mexico,MEX,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,764000000,826000000,930000000,985000000,1054000000,1145000000,1199000000,1145000000,1254000000,1430000000,1402000000,1504000000,1694000000,2250000000,2958000000,2904000000,3417000000,4167000000,6005000000,8982000000,18031000000,23307000000,24055000000,25953000000,29101000000,26757000000,21804000000,27600000000,30691000000,35171000000,40711000000,42688000000,46196000000,51886000000,60882000000,79542000000,96000000000,110431000000,117460000000,136391000000,166367000000,158547000000,160682000000,165396000000,187980000000,214207000000,249961000000,271821000000,291265000000,229712000000,298305000000,349569000000,370770000000,380015000000,396912000000,380550000000,373948000000,409433000000,450713000000,460704000000,417670000000
Mexico,MEX,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1186000000,1139000000,1143000000,1240000000,1493000000,1560000000,1605000000,1748000000,1960000000,2080000000,2461000000,2407000000,2718000000,3814000000,6057000000,6580000000,6028000000,5489000000,8109000000,12086000000,22144000000,28462000000,17742000000,12476000000,16691000000,19116000000,17573000000,19697000000,29402000000,36400000000,43548000000,51725000000,64213000000,67547000000,81986000000,74427000000,91979000000,113121000000,129072000000,146084000000,179464000000,173039000000,173087000000,175039000000,202260000000,228240000000,263476000000,290246000000,318304000000,241515000000,310205000000,361068000000,380477000000,390965000000,411581000000,405282000000,397522000000,432179000000,476546000000,467342000000,393248000000
Mexico,MEX,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1109120000,1191208000,1302504000,1411096000,1532720000,1667320000,1816952000,1824072000,2066336000,2451096000,2754440000,2995040000,3643200000,4650160000,6054240000,6067120000,7558155844.15584,8442477876.1062,10732745614.0351,15056293859.6491,20806478260.8696,26030530612.2449,26633315602.8369,28288293089.0924,30526865315.8522,28436329311.016,22445889179.4704,27348987810.1872,36496759051.5156,42358817387.7717,48866100760.8618,51459972501.9878,55406026689.0691,61496886634.9981,70636498177.8318,86954944698.8815,106874265073.558,121765264254.594,129490212237.303,147853263357.182,179855862769.153,171520507262.666,174129212924.606,177669541570.118,202133349193.691,230184391855.312,266526112833.969,289778188814.26,307483574130.48,244407308913.309,314142282684.394,366385100577.141,387538503663.769,398972729094.895,419247687492.947,404585953950.897,399496352302.013,436348935038.174,479887556263.413,492731912103.657,431451881892.153
Mexico,MEX,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1520944000,1503120000,1536528000,1688128000,1978568000,2079752000,2192168000,2392912000,2746232000,3011216000,3430408000,3417960000,3991120000,5232144000,7612160000,8465680000,8784409090.90909,8363203539.82301,11315763157.8947,16754179824.5614,25215695652.1739,32350081632.6531,17920283687.9433,14024762697.7519,16777514898.6889,19063168548.0732,17389311866.6231,18775671165.2881,33950973120.4083,42503284582.5716,51767986204.9349,60602974423.5356,73709195127.4678,77847500962.8964,91454798672.6319,79834960276.6614,100336342605.995,122323230283.513,139005454028.021,155972441425.045,191318627691.527,185388139002.173,186428365368.683,188498786171.1,216256995303.916,243109891630.498,280595105053.582,308103605534.306,333835150453.292,259328000666.001,328581153292.181,382867847673.324,402385300656.821,413674331349.828,434748776076.735,428484066051.248,420827462668.974,457355480675.244,504876977026.964,495912282543.242,407763047575.501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
